port_a,port_b,lag,corr,pval,pval_corrected
Antwerp,Ningbo,12,0.0019,0.9244,0.9874707520891364
Antwerp,Ningbo,13,0.0363,0.0654,0.46701744966442954
Antwerp,Ningbo,14,0.0018,0.9269,0.9874707520891364
Antwerp,Port Klang,1,-0.0143,0.4664,0.8528397260273972
Antwerp,Port Klang,2,-0.0143,0.4656,0.8528397260273972
Antwerp,Port Klang,3,-0.0317,0.1071,0.5349943714821763
Antwerp,Port Klang,4,0.0144,0.4632,0.8528397260273972
Antwerp,Port Klang,5,0.0095,0.6288,0.915680437756498
Antwerp,Port Klang,6,0.0041,0.8342,0.9725934692088539
Antwerp,Port Klang,7,-0.0133,0.4977,0.8712615992102665
Antwerp,Port Klang,8,-0.0366,0.0627,0.456415300546448
Antwerp,Port Klang,9,-0.0483,0.0141,0.22391641791044775
Antwerp,Port Klang,10,-0.0309,0.1169,0.5513368794326241
Antwerp,Port Klang,11,-0.0251,0.2026,0.6747317073170732
Antwerp,Port Klang,12,-0.0193,0.3269,0.7799177101967799
Antwerp,Port Klang,13,0.0155,0.4304,0.8311776649746194
Antwerp,Port Klang,14,-0.0252,0.2012,0.6740453400503778
Antwerp,Qingdao,1,0.0137,0.487,0.8639013004334778
Antwerp,Qingdao,2,0.0081,0.6818,0.930151569277877
Antwerp,Qingdao,3,-0.0031,0.8744,0.9784640605296342
Antwerp,Qingdao,4,0.0247,0.2089,0.6803743119266055
Antwerp,Qingdao,5,0.0084,0.6682,0.924291211648466
Antwerp,Qingdao,6,-0.0079,0.6869,0.9301939393939394
Antwerp,Qingdao,7,-0.0136,0.4908,0.866374792703151
Antwerp,Qingdao,8,-0.0024,0.9032,0.9833939393939395
Antwerp,Qingdao,9,-0.008,0.6836,0.930151569277877
Antwerp,Qingdao,10,0.0148,0.4533,0.8469410112359551
Antwerp,Qingdao,11,-0.0301,0.1256,0.5662644067796611
Antwerp,Qingdao,12,0.0147,0.4553,0.8486710940230688
Antwerp,Qingdao,13,0.0147,0.4564,0.8486710940230688
Antwerp,Qingdao,14,0.0146,0.4574,0.8498639693058947
Antwerp,Rotterdam,1,0.0405,0.0393,0.371360568383659
Antwerp,Rotterdam,2,-0.0077,0.6948,0.930632134774956
Antwerp,Rotterdam,3,-0.0017,0.9303,0.9874707520891364
Antwerp,Rotterdam,4,-0.0198,0.3136,0.7688794848206072
Antwerp,Rotterdam,5,0.0107,0.5866,0.8994939481268012
Antwerp,Rotterdam,6,0.0353,0.0726,0.480722891566265
Antwerp,Rotterdam,7,0.0171,0.3841,0.8085138339920949
Antwerp,Rotterdam,8,-0.0253,0.199,0.669203539823009
Antwerp,Rotterdam,9,-0.0132,0.5026,0.8730256410256412
Antwerp,Rotterdam,10,-0.0374,0.0571,0.4439657631954351
Antwerp,Rotterdam,11,-0.0496,0.0118,0.2048802588996764
Antwerp,Rotterdam,12,0.0291,0.1396,0.5870924901185771
Antwerp,Rotterdam,13,0.017,0.3894,0.8140769230769231
Antwerp,Rotterdam,14,0.0835,0.0,0.0
Antwerp,Sakai-Semboku,1,0.0245,0.2124,0.6818455971049457
Antwerp,Sakai-Semboku,2,-0.0164,0.4035,0.8215154994259473
Antwerp,Sakai-Semboku,3,0.0131,0.5049,0.8730256410256412
Antwerp,Sakai-Semboku,4,-0.0047,0.8128,0.9670165526373868
Antwerp,Sakai-Semboku,5,-0.0043,0.8275,0.9696978227402683
Antwerp,Sakai-Semboku,6,0.0436,0.0265,0.3078165938864629
Antwerp,Sakai-Semboku,7,0.0198,0.3135,0.7688794848206072
Antwerp,Sakai-Semboku,8,-0.0277,0.1586,0.62223598820059
Antwerp,Sakai-Semboku,9,-0.004,0.839,0.9737085514834205
Antwerp,Sakai-Semboku,10,-0.004,0.8378,0.9737085514834205
Antwerp,Sakai-Semboku,11,-0.0159,0.4181,0.824314190440904
Antwerp,Sakai-Semboku,12,-0.0397,0.0435,0.3929032258064516
Antwerp,Sakai-Semboku,13,0.0137,0.4863,0.8638116861435726
Antwerp,Sakai-Semboku,14,0.0077,0.6944,0.930632134774956
Antwerp,Shanghai (Pudong),1,-0.0108,0.5812,0.8983482298316889
Antwerp,Shanghai (Pudong),2,0.0111,0.5719,0.8965939893930465
Antwerp,Shanghai (Pudong),3,0.0001,0.9965,0.998476836158192
Antwerp,Shanghai (Pudong),4,-0.0161,0.4136,0.8231541325390915
Antwerp,Shanghai (Pudong),5,0.0009,0.965,0.9908012350443843
Antwerp,Shanghai (Pudong),6,0.0234,0.2336,0.69825
Antwerp,Shanghai (Pudong),7,0.0455,0.0206,0.26664720194647207
Antwerp,Shanghai (Pudong),8,0.0178,0.3649,0.7939812168231931
Antwerp,Shanghai (Pudong),9,0.0012,0.9518,0.9908012350443843
Antwerp,Shanghai (Pudong),10,0.0344,0.0807,0.4884232081911262
Antwerp,Shanghai (Pudong),11,0.0454,0.021,0.2705084745762712
Antwerp,Shanghai (Pudong),12,0.0011,0.9557,0.9908012350443843
Antwerp,Shanghai (Pudong),13,0.0121,0.5378,0.8868865468071915
Antwerp,Shanghai (Pudong),14,0.0121,0.539,0.8869409217445099
Antwerp,Singapore,1,-0.0442,0.0245,0.29555555555555557
Antwerp,Singapore,2,0.0101,0.6075,0.909113924050633
Antwerp,Singapore,3,-0.0103,0.6007,0.9060130348540663
Antwerp,Singapore,4,-0.0171,0.3844,0.8085138339920949
Antwerp,Singapore,5,-0.0032,0.8704,0.9781427967891846
Antwerp,Singapore,6,0.0176,0.3716,0.7973580048270313
Antwerp,Singapore,7,0.0448,0.0226,0.2822347417840375
Antwerp,Singapore,8,-0.0029,0.8813,0.9796734013747136
Antwerp,Singapore,9,-0.0234,0.2338,0.69825
Antwerp,Singapore,10,-0.0235,0.2334,0.69825
Antwerp,Singapore,11,0.0038,0.8466,0.9757170056252704
Antwerp,Singapore,12,-0.003,0.8774,0.9795006294586655
Antwerp,Singapore,13,0.0379,0.0544,0.4338950524737631
Antwerp,Singapore,14,0.0378,0.0546,0.4348383233532934
Antwerp,Tianjin Xin Gang,1,0.0005,0.9788,0.994122947689958
Antwerp,Tianjin Xin Gang,2,-0.0166,0.3995,0.818697996918336
Antwerp,Tianjin Xin Gang,3,-0.0052,0.7905,0.9555938209904588
Antwerp,Tianjin Xin Gang,4,0.0061,0.7558,0.9481188118811881
Antwerp,Tianjin Xin Gang,5,0.0236,0.2296,0.6959954415954416
Antwerp,Tianjin Xin Gang,6,-0.0273,0.1647,0.631270893371758
Antwerp,Tianjin Xin Gang,7,0.0298,0.1301,0.5714723825226711
Antwerp,Tianjin Xin Gang,8,0.0069,0.7263,0.9387171643602816
Antwerp,Tianjin Xin Gang,9,-0.0388,0.0483,0.40981818181818186
Antwerp,Tianjin Xin Gang,10,-0.0217,0.2694,0.7284266124936516
Antwerp,Tianjin Xin Gang,11,0.0125,0.5251,0.8843658227848101
Antwerp,Tianjin Xin Gang,12,-0.01,0.6118,0.9106413407821229
Antwerp,Tianjin Xin Gang,13,-0.0329,0.0944,0.5084979919678715
Antwerp,Tianjin Xin Gang,14,0.03,0.1273,0.5684140233722872
Antwerp,Ulsan,1,0.0067,0.7342,0.940837656099904
Antwerp,Ulsan,2,-0.008,0.6838,0.930151569277877
Antwerp,Ulsan,3,-0.0007,0.9715,0.9929644572526417
Antwerp,Ulsan,4,-0.0007,0.9706,0.9929644572526417
Antwerp,Ulsan,5,0.0143,0.4681,0.8528397260273972
Antwerp,Ulsan,6,0.0588,0.0028,0.07374257425742574
Antwerp,Ulsan,7,0.0072,0.7137,0.9356494337764648
Antwerp,Ulsan,8,0.0219,0.2651,0.7277254901960785
Antwerp,Ulsan,9,0.0072,0.7155,0.9366289370078741
Antwerp,Ulsan,10,0.0071,0.7165,0.937015732546706
Antwerp,Ulsan,11,-0.0002,0.9903,0.9962927382753403
Antwerp,Ulsan,12,0.0071,0.7183,0.9370973277764157
Antwerp,Ulsan,13,0.0218,0.268,0.7284266124936516
Antwerp,Ulsan,14,0.0439,0.0258,0.3048407079646017
Antwerp,Yokohama,1,0.046,0.0192,0.256
Antwerp,Yokohama,2,-0.0109,0.58,0.8983482298316889
Antwerp,Yokohama,3,-0.0052,0.7905,0.9555938209904588
Antwerp,Yokohama,4,-0.0109,0.578,0.8983482298316889
Antwerp,Yokohama,5,-0.0163,0.4082,0.8225461393596986
Antwerp,Yokohama,6,0.0526,0.0074,0.14473529411764707
Antwerp,Yokohama,7,0.0469,0.017,0.24117333333333335
Antwerp,Yokohama,8,0.024,0.222,0.686870424171993
Antwerp,Yokohama,9,-0.0217,0.27,0.7285384615384616
Antwerp,Yokohama,10,-0.016,0.4155,0.8231541325390915
Antwerp,Yokohama,11,-0.0275,0.1627,0.6267661115133961
Antwerp,Yokohama,12,-0.0332,0.0914,0.5084979919678715
Antwerp,Yokohama,13,0.0182,0.3564,0.7939812168231931
Antwerp,Yokohama,14,0.0296,0.1334,0.5762974939369443
Busan,Antwerp,1,-0.0004,0.9832,0.9956520746098211
Busan,Antwerp,2,0.0117,0.5518,0.8905635159542445
Busan,Antwerp,3,0.0117,0.5529,0.8905635159542445
Busan,Antwerp,4,0.048,0.0145,0.2255555555555556
Busan,Antwerp,5,0.0177,0.3686,0.795733874239351
Busan,Antwerp,6,-0.0006,0.9775,0.994122947689958
Busan,Antwerp,7,0.0055,0.7804,0.9540866773675762
Busan,Antwerp,8,0.0237,0.2291,0.6952721049629208
Busan,Antwerp,9,0.0119,0.5444,0.8874816176470588
Busan,Antwerp,10,-0.0124,0.5274,0.88593874329018
Busan,Antwerp,11,-0.0003,0.988,0.9962927382753403
Busan,Antwerp,12,0.0179,0.3625,0.7939812168231931
Busan,Antwerp,13,-0.0305,0.122,0.5609680207433017
Busan,Antwerp,14,0.0183,0.3522,0.7919289940828402
Busan,Chiba,1,0.0651,0.0009,0.031920000000000004
Busan,Chiba,2,0.0306,0.1189,0.5547668122270742
Busan,Chiba,3,-0.0038,0.847,0.9757170056252704
Busan,Chiba,4,0.0134,0.4962,0.8701311367380561
Busan,Chiba,5,0.0076,0.6986,0.9308338745940545
Busan,Chiba,6,0.0133,0.4983,0.8717382439986847
Busan,Chiba,7,-0.0154,0.4342,0.8333131313131313
Busan,Chiba,8,-0.0097,0.6227,0.9136138996138996
Busan,Chiba,9,-0.004,0.8399,0.9739032258064516
Busan,Chiba,10,0.0132,0.5025,0.8730256410256412
Busan,Chiba,11,-0.004,0.8375,0.9737085514834205
Busan,Chiba,12,-0.0041,0.8364,0.9737085514834205
Busan,Chiba,13,-0.0098,0.6176,0.9122525616172805
Busan,Chiba,14,0.0188,0.3395,0.7820972043010752
Busan,Guangzhou (Nansha),1,0.0343,0.0807,0.4884232081911262
Busan,Guangzhou (Nansha),2,0.0109,0.5782,0.8983482298316889
Busan,Guangzhou (Nansha),3,0.0167,0.3945,0.8163127187864644
Busan,Guangzhou (Nansha),4,-0.0008,0.9672,0.9917201772981308
Busan,Guangzhou (Nansha),5,0.005,0.7993,0.9602185594942425
Busan,Guangzhou (Nansha),6,0.0054,0.7849,0.9541238291066941
Busan,Guangzhou (Nansha),7,0.0053,0.7861,0.9542742413871776
Busan,Guangzhou (Nansha),8,0.0229,0.2451,0.7124325505188421
Busan,Guangzhou (Nansha),9,0.0228,0.2458,0.712804785209353
Busan,Guangzhou (Nansha),10,0.017,0.3889,0.8137947306331105
Busan,Guangzhou (Nansha),11,0.0169,0.3899,0.8140769230769231
Busan,Guangzhou (Nansha),12,-0.0182,0.3547,0.7938594867480018
Busan,Guangzhou (Nansha),13,-0.0124,0.529,0.8859414910349166
Busan,Guangzhou (Nansha),14,0.0285,0.1472,0.6009478527607361
Busan,Gwangyang (Kwangyang),1,0.1153,0.0,0.0
Busan,Gwangyang (Kwangyang),2,-0.0085,0.6654,0.9235397860683537
Busan,Gwangyang (Kwangyang),3,-0.0292,0.138,0.5845222929936307
Busan,Gwangyang (Kwangyang),4,-0.0017,0.9322,0.9874707520891364
Busan,Gwangyang (Kwangyang),5,-0.0081,0.6786,0.929254054054054
Busan,Gwangyang (Kwangyang),6,-0.0358,0.0689,0.4767272727272727
Busan,Gwangyang (Kwangyang),7,-0.0013,0.9475,0.9908012350443843
Busan,Gwangyang (Kwangyang),8,0.0338,0.0862,0.500739934711643
Busan,Gwangyang (Kwangyang),9,0.0199,0.3123,0.7688273947246645
Busan,Gwangyang (Kwangyang),10,-0.0217,0.2704,0.7285384615384616
Busan,Gwangyang (Kwangyang),11,-0.0009,0.9619,0.9908012350443843
Busan,Gwangyang (Kwangyang),12,-0.0217,0.2695,0.7284266124936516
Busan,Gwangyang (Kwangyang),13,0.0059,0.7632,0.9513250643575942
Busan,Gwangyang (Kwangyang),14,-0.0079,0.6869,0.9301939393939394
Busan,Hong Kong,1,0.0163,0.4071,0.8225461393596986
Busan,Hong Kong,2,0.0227,0.2472,0.7139543973941368
Busan,Hong Kong,3,0.0098,0.6196,0.9125891472868217
Busan,Hong Kong,4,-0.0032,0.8697,0.9780122543841115
Busan,Hong Kong,5,0.0032,0.8696,0.9780122543841115
Busan,Hong Kong,6,-0.0098,0.6199,0.9127783005812344
Busan,Hong Kong,7,0.0161,0.4122,0.8227441860465116
Busan,Hong Kong,8,0.0096,0.6246,0.9141325997248968
Busan,Hong Kong,9,0.0226,0.2516,0.7177008042895442
Busan,Hong Kong,10,-0.0034,0.8636,0.9780122543841115
Busan,Hong Kong,11,-0.0228,0.2458,0.712804785209353
Busan,Hong Kong,12,0.0095,0.6286,0.915680437756498
Busan,Hong Kong,13,-0.0035,0.8605,0.9780122543841115
Busan,Hong Kong,14,-0.01,0.6128,0.9106413407821229
Busan,Kaohsiung,1,0.0326,0.0968,0.5129243027888446
Busan,Kaohsiung,2,-0.0092,0.6414,0.9166747246843943
Busan,Kaohsiung,3,0.0087,0.6577,0.9189852941176472
Busan,Kaohsiung,4,0.0146,0.4563,0.8486710940230688
Busan,Kaohsiung,5,0.0087,0.6599,0.9195801047120419
Busan,Kaohsiung,6,-0.0033,0.8666,0.9780122543841115
Busan,Kaohsiung,7,-0.0093,0.6364,0.9164693822497976
Busan,Kaohsiung,8,-0.0093,0.6354,0.9164693822497976
